group,pk,sk,exchange,attack,cardinality
d5,6,5,127037,22,10
d5,6,5,117958,25,10
d5,6,5,142399,27,10
d5,6,5,135717,20,10
d5,6,5,142857,39,10
d5,6,5,118239,17,10
d5,6,5,137475,23,10
d5,6,5,95170,20,10
d5,6,5,144392,16,10
d5,6,5,111261,18,10
d5,6,5,144701,37,10
d5,6,5,109658,25,10
d5,6,5,141948,22,10
d5,6,5,157943,31,10
d5,6,5,101308,42,10
d5,6,5,109191,26,10
d5,6,5,131535,26,10
d5,6,5,98613,20,10
d5,6,5,144251,27,10
d5,6,5,103271,24,10
d5,6,5,157579,15,10
d6,6,1,173429,12,12
d6,6,1,149767,12,12
d6,6,1,179320,16,12
d6,6,1,114829,16,12
d6,6,1,180635,19,12
d6,6,1,121149,15,12
d6,6,1,146179,12,12
d6,6,1,153925,11,12
d6,6,1,125884,13,12
d6,6,1,136602,14,12
d6,6,1,160776,14,12
d6,6,1,111428,12,12
d6,6,1,128538,13,12
d6,6,1,139053,16,12
d6,6,1,124958,12,12
d6,6,1,114795,15,12
d6,6,1,135394,13,12
d6,6,1,136932,14,12
d6,6,1,100935,17,12
d6,6,1,125096,14,12
d6,6,1,130075,12,12
d6,6,1,134532,11,12
d6,6,1,99933,13,12
d6,6,1,172673,14,12
d6,6,1,125306,12,12
d6,6,2,119665,18,12
d6,6,2,132644,19,12
d6,6,2,121910,15,12
d6,6,2,109803,14,12
d6,6,2,171223,14,12
d6,6,2,165671,16,12
d6,6,2,133214,14,12
d6,6,2,111128,16,12
d6,6,2,123553,11,12
d6,6,2,112072,16,12
d6,6,2,138599,15,12
d6,6,2,137846,21,12
d6,6,2,105213,14,12
d6,6,2,131576,13,12
d6,6,2,119897,12,12
d6,6,2,200135,22,12
d6,6,2,132139,18,12
d6,6,2,139676,21,12
d6,6,2,122080,15,12
d6,6,2,138757,13,12
d6,6,2,116541,18,12
d6,6,2,100855,16,12
d6,6,2,114670,27,12
d6,6,2,120887,16,12
d6,6,2,156355,17,12
d6,6,3,122278,13,12
d6,6,3,129340,23,12
d6,6,3,128997,20,12
d6,6,3,138456,17,12
d6,6,3,119817,32,12
d6,6,3,137108,19,12
d6,6,3,123324,22,12
d6,6,3,137444,21,12
d6,6,3,153719,23,12
d6,6,3,116543,15,12
d6,6,3,152152,15,12
d6,6,3,125108,15,12
d6,6,3,148902,17,12
d6,6,3,107688,17,12
d6,6,3,189538,19,12
d6,6,3,118898,17,12
d6,6,3,139797,20,12
d6,6,3,106078,28,12
d6,6,3,132881,26,12
d6,6,3,138114,24,12
d6,6,3,108699,23,12
d6,6,3,133521,12,12
d6,6,3,135571,19,12
d6,6,3,154477,16,12
d6,6,3,142474,17,12
d6,6,4,107707,17,12
d6,6,4,139867,14,12
d6,6,4,107910,13,12
d6,6,4,199798,16,12
d6,6,4,142025,15,12
d6,6,4,123763,23,12
d6,6,4,119436,19,12
d6,6,4,110863,16,12
d6,6,4,173946,18,12
d6,6,4,137777,41,12
d6,6,4,170672,23,12
d6,6,4,136923,24,12
